year,hours_spouse,Spouse_labor_status,Marital_status,industry_code,Rs census occupation code (2010),Ever work as long as one year,hours_self,Labor force status,ID,Ballot used for interview
1973,Not applicable,Working fulltime,Married,Motor vehicles and motor vehicle equipment manufacturing,Miscellaneous assemblers and fabricators,Not applicable,40,Temp not working,576,Not applicable
1973,Not applicable,Working fulltime,Married,Legal services,Secretaries and administrative assistants,Not applicable,35,Temp not working,703,Not applicable
1973,Not applicable,Working fulltime,Married,Department stores and discount stores,Cashiers,Not applicable,40,Temp not working,707,Not applicable
1973,Not applicable,Keeping house,Married,Automotive repair and maintenance,Driver/sales workers and truck drivers,Not applicable,40,Temp not working,722,Not applicable
1973,Not applicable,Working fulltime,Married,Hospitals,"Nursing, psychiatric, and home health aides",Not applicable,40,Temp not working,730,Not applicable
1973,Not applicable,Working fulltime,Married,Truck transportation,Driver/sales workers and truck drivers,Not applicable,70,Temp not working,789,Not applicable
1973,Not applicable,Working fulltime,Married,Fruit and vegetable preserving and specialty food manufacturing,Uncodeable,Not applicable,16,Temp not working,839,Not applicable
1973,Not applicable,Not applicable,Separated,Automotive repair and maintenance,Automotive body and related repairers,Not applicable,40,Temp not working,879,Not applicable
1973,Not applicable,Keeping house,Married,Water transportation,Ship and boat captains and operators,Not applicable,40,Temp not working,898,Not applicable
1973,Not applicable,Keeping house,Married,Truck transportation,Driver/sales workers and truck drivers,Not applicable,70,Temp not working,1037,Not applicable
1973,Not applicable,Not applicable,Widowed,Hospitals,"Nursing, psychiatric, and home health aides",Not applicable,37,Temp not working,1105,Not applicable
1973,Not applicable,Working parttime,Married,Water transportation,Sailors and marine oilers,Not applicable,56,Temp not working,1298,Not applicable
1973,Not applicable,Keeping house,Married,Construction,Construction laborers,Not applicable,30,Temp not working,1299,Not applicable
1973,Not applicable,Working fulltime,Married, restaurants and other food services,Janitors and building cleaners,Not applicable,48,Temp not working,1395,Not applicable
1973,73,Temp not working,Married,Department stores and discount stores,Cashiers,Not applicable,20,Temp not working,1449,Not applicable
1974,Not applicable,Keeping house,Married,Construction,Construction laborers,Not applicable,40,Temp not working,132,Not applicable
1974,Not applicable,Keeping house,Married,Truck transportation,"Laborers and freight, stock, and material movers, hand",Not applicable,40,Temp not working,141,Not applicable
1974,Not applicable,Working fulltime,Married,Banking and related activities,Miscellaneous legal support workers,Not applicable,40,Temp not working,180,Not applicable
1974,Not applicable,Retired,Married,Private households,Personal care aides,Not applicable,5,Temp not working,214,Not applicable
1974,Not applicable,Not applicable,Never married,Individual and family services,"Nursing, psychiatric, and home health aides",Not applicable,40,Temp not working,220,Not applicable
1974,Not applicable,Not applicable,Widowed,Employment services,Registered nurses,Not applicable,20,Temp not working,265,Not applicable
1974,Not applicable,Working fulltime,Married,Hospitals,Registered nurses,Not applicable,40,Temp not working,275,Not applicable
1974,Not applicable,Other,Married,Services incidental to transportation,Air traffic controllers and airfield operations specialists,Not applicable,40,Temp not working,315,Not applicable
1974,Not applicable,Working fulltime,Married,Computer and peripheral equipment manufacturing    ,"Computer, automated teller, and office machine repairers",Not applicable,40,Temp not working,316,Not applicable
1974,Not applicable,Working fulltime,Married,Nursing care facilities,Medical and health services managers,Not applicable,40,Temp not working,348,Not applicable
1974,Not applicable,Not applicable,Widowed,Construction,"Painters, construction and maintenance",Not applicable,48,Temp not working,379,Not applicable
1974,Not applicable,Keeping house,Married,"Drugs, sundries, and chemical and allied products, merchant wholesalers","Sales representatives,  wholesale and manufacturing",Not applicable,40,Temp not working,391,Not applicable
1974,Not applicable,Keeping house,Married,National security and international affairs,"Transportation, storage, and distribution managers",Not applicable,40,Temp not working,400,Not applicable
1974,Not applicable,Working fulltime,Married,Construction,Carpenters,Not applicable,25,Temp not working,404,Not applicable
1974,Not applicable,Working fulltime,Married,"Business, professional, political, and similar organizations",Recreation and fitness workers,Not applicable,37,Temp not working,452,Not applicable
1974,Not applicable,Working fulltime,Married,Uncodeable,Print binding and finishing workers,Not applicable,37,Temp not working,508,Not applicable
1974,Not applicable,Keeping house,Married,Aluminum production and processing,"Inspectors, testers, sorters, samplers, and weighers",Not applicable,40,Temp not working,516,Not applicable
1974,Not applicable,Keeping house,Married,Motor vehicles and motor vehicle equipment manufacturing,Uncodeable,Not applicable,48,Temp not working,598,Not applicable
1974,Not applicable,Keeping house,Married,Construction,Crane and tower operators,Not applicable,40,Temp not working,602,Not applicable
1974,Not applicable,Keeping house,Married,"Justice, public order, and safety activities",Uncodeable,Not applicable,40,Temp not working,603,Not applicable
1974,Not applicable,Not applicable,Divorced,Motor vehicles and motor vehicle equipment manufacturing,Uncodeable,Not applicable,40,Temp not working,626,Not applicable
1974,Not applicable,Keeping house,Married,Metal ore mining,Mining machine operators,Not applicable,40,Temp not working,628,Not applicable
1974,Not applicable,Other,Married,Hospitals,Cooks,Not applicable,40,Temp not working,665,Not applicable
1974,Not applicable,Working parttime,Married,Uncodeable,Janitors and building cleaners,Not applicable,40,Temp not working,670,Not applicable
1974,Not applicable,Not applicable,Widowed,Private households,Maids and housekeeping cleaners,Not applicable,20,Temp not working,704,Not applicable
1974,Not applicable,Keeping house,Married,"Machinery manufacturing, n.e.c.    ",Structural iron and steel workers,Not applicable,40,Temp not working,721,Not applicable
1974,40,Temp not working,Married,National security and international affairs,"Military, rank not specified",Not applicable,40,Temp not working,745,Not applicable
1974,Not applicable,Working fulltime,Married,No answer,No answer,Not applicable,40,Temp not working,786,Not applicable
1974,Not applicable,Keeping house,Married,"Other amusement, gambling, and recreation industries",No answer,Not applicable,70,Temp not working,797,Not applicable
1974,Not applicable,Not applicable,Divorced,No answer,Secretaries and administrative assistants,Not applicable,40,Temp not working,839,Not applicable
1974,Not applicable,Working fulltime,Married,Offices of physicians,Dental assistants,Not applicable,25,Temp not working,854,Not applicable
1974,Not applicable,Not applicable,Never married,No answer,Secretaries and administrative assistants,Not applicable,40,Temp not working,877,Not applicable
1974,Not applicable,Not applicable,Never married,No answer,Industrial truck and tractor operators,Not applicable,48,Temp not working,980,Not applicable
1974,Not applicable,Working fulltime,Married,Elementary and secondary schools,Elementary and middle school teachers,Not applicable,60,Temp not working,999,Not applicable
1974,Not applicable,Keeping house,Married,Truck transportation,Driver/sales workers and truck drivers,Not applicable,40,Temp not working,1001,Not applicable
1974,Not applicable,Not applicable,Divorced, restaurants and other food services,Food service managers,Not applicable,40,Temp not working,1069,Not applicable
1974,Not applicable,Working fulltime,Married,Not specified food industries,Driver/sales workers and truck drivers,Not applicable,32,Temp not working,1076,Not applicable
1974,Not applicable,Keeping house,Married,Iron and steel mills and steel product manufacturing ,Millwrights,Not applicable,40,Temp not working,1145,Not applicable
1974,Not applicable,Keeping house,Married,"Electric power generation, transmission, and distribution",Budget analysts,Not applicable,40,Temp not working,1211,Not applicable
1974,Not applicable,"Unempl, laid off",Married,Cut and sew apparel manufacturing,Receptionists and information clerks,Not applicable,40,Temp not working,1244,Not applicable
1974,Not applicable,Not applicable,Divorced,Grocery stores,Stock clerks and order fillers,Not applicable,40,Temp not working,1363,Not applicable
1974,Not applicable,Working fulltime,Married,Coal mining,Mine shuttle car operators,Not applicable,40,Temp not working,1376,Not applicable
1974,Not applicable,Working fulltime,Married,Glass and glass product manufacturing,"Molders, shapers, and casters, except metal and plastic",Not applicable,40,Temp not working,1404,Not applicable
1974,Not applicable,Keeping house,Married,Dairy product manufacturing,Stationary engineers and boiler operators,Not applicable,40,Temp not working,1435,Not applicable
1975,Not applicable,Not applicable,Divorced,Aircraft and parts manufacturing,"Grinding, lapping, polishing, and buffing machine tool setters,  operators, and tenders, metal and plastic",Not applicable,40,Temp not working,16,Not applicable
1975,Not applicable,Not applicable,Widowed,Uncodeable,Cashiers,Not applicable,37,Temp not working,98,Not applicable
1975,8,Temp not working,Married,Construction,Uncodeable,Not applicable,52,Temp not working,143,Not applicable
1975,Not applicable,Keeping house,Married,Drycleaning and laundry services,Uncodeable,Not applicable,45,Temp not working,166,Not applicable
1975,Not applicable,Keeping house,Married,Elementary and secondary schools,Janitors and building cleaners,Not applicable,40,Temp not working,267,Not applicable
1975,Not applicable,Not applicable,Divorced,"Management, scientific, and technical consulting services",Management analysts,Not applicable,40,Temp not working,283,Not applicable
1975,Not applicable,Not applicable,Divorced,Aerospace product and parts manufacturing,Electrical and electronics engineers,Not applicable,40,Temp not working,298,Not applicable
1975,Not applicable,Not applicable,Widowed,Religious organizations,Clergy,Not applicable,40,Temp not working,335,Not applicable
1975,Not applicable,Keeping house,Married,Coal mining,Driver/sales workers and truck drivers,Not applicable,45,Temp not working,357,Not applicable
1975,Not applicable,Keeping house,Married,Rail transportation,"Railroad brake, signal, and switch operators",Not applicable,40,Temp not working,385,Not applicable
1975,Not applicable,Keeping house,Married,Wired telecommunications carriers,"First-line supervisors of mechanics, installers, and repairers",Not applicable,48,Temp not working,393,Not applicable
1975,Not applicable,Not applicable,Never married,Elementary and secondary schools,Elementary and middle school teachers,Not applicable,40,Temp not working,502,Not applicable
1975,Not applicable,Not applicable,Never married,Insurance carriers and related activities,Insurance sales agents,Not applicable,75,Temp not working,628,Not applicable
1975,Not applicable,Not applicable,Divorced,"Drinking places, alcoholic beverages","Entertainers and performers, sports and related workers, all other",Not applicable,45,Temp not working,1018,Not applicable
1975,72,Temp not working,Married,Natural gas distribution,"Bookkeeping, accounting, and auditing clerks",Not applicable,20,Temp not working,1157,Not applicable
1975,Not applicable,Working fulltime,Married,Construction,Construction laborers,Not applicable,40,Temp not working,1172,Not applicable
1975,Not applicable,Retired,Married,Private households,Maids and housekeeping cleaners,Not applicable,24,Temp not working,1275,Not applicable
1975,Not applicable,Keeping house,Married,Motor vehicles and motor vehicle equipment manufacturing,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",Not applicable,40,Temp not working,1283,Not applicable
1975,Not applicable,Working fulltime,Married,Furniture and related product manufacturing,"Sawing machine setters, operators, and tenders, wood",Not applicable,40,Temp not working,1368,Not applicable
1975,Not applicable,Not applicable,Widowed,Other personal services,Nonfarm animal caretakers,Not applicable,50,Temp not working,1471,Not applicable
1975,Not applicable,Keeping house,Married,Bus service and urban transit,Bus drivers,Not applicable,40,Temp not working,1610,Not applicable
1975,40,Temp not working,Married,Hospitals,Procurement clerks,Not applicable,24,Temp not working,1657,Not applicable
1975,Not applicable,Keeping house,Married,Electronic and precision equipment repair and maintenance,Uncodeable,Not applicable,50,Temp not working,1687,Not applicable
1975,Not applicable,Working fulltime,Married,Construction,"Painters, construction and maintenance",Not applicable,40,Temp not working,1700,Not applicable
1975,Not applicable,Not applicable,Never married,Hospitals,"Nursing, psychiatric, and home health aides",Not applicable,40,Temp not working,1748,Not applicable
1976,Not applicable,Working fulltime,Married,Individual and family services,"Office clerks, general",Not applicable,4,Temp not working,35,Not applicable
1976,Not applicable,Not applicable,Divorced,"Colleges and universities, including junior colleges","Office clerks, general",Not applicable,15,Temp not working,90,Not applicable
1976,Not applicable,Not applicable,Divorced,Elementary and secondary schools,Elementary and middle school teachers,Not applicable,70,Temp not working,184,Not applicable
1976,Not applicable,Keeping house,Married,National security and international affairs,"Military, rank not specified",Not applicable,40,Temp not working,207,Not applicable
1976,Not applicable,Not applicable,Divorced,Grocery stores,Stock clerks and order fillers,Not applicable,40,Temp not working,291,Not applicable
1976,Not applicable,Not applicable,Divorced,Construction,"Carpet, floor, and tile installers and finishers",Not applicable,40,Temp not working,429,Not applicable
1976,Not applicable,Not applicable,Separated,Crop production,Miscellaneous agricultural workers,Not applicable,30,Temp not working,452,Not applicable
1976,Not applicable,Not applicable,Never married,Water transportation,Sailors and marine oilers,Not applicable,89,Temp not working,490,Not applicable
1976,Not applicable,Working fulltime,Married,"Construction, and mining and oil and gas field machinery manufacturing    ",Machinists,Not applicable,50,Temp not working,505,Not applicable
1976,Not applicable,Working parttime,Married,"Justice, public order, and safety activities",Fire inspectors,Not applicable,40,Temp not working,537,Not applicable
1976,40,Temp not working,Married, restaurants and other food services,Cooks,Not applicable,5,Temp not working,567,Not applicable
1976,Not applicable,Keeping house,Married,Rail transportation,"Subway, streetcar, and other rail transportation workers",Not applicable,40,Temp not working,645,Not applicable
1976,Not applicable,Keeping house,Married,Aerospace product and parts manufacturing,Mechanical engineers,Not applicable,40,Temp not working,1068,Not applicable
1976,40,Temp not working,Married,Iron and steel mills and steel product manufacturing ,"Welding, soldering, and brazing workers",Not applicable,40,Temp not working,1091,Not applicable
1976,Not applicable,Not applicable,Divorced, restaurants and other food services,Waiters and waitresses,Not applicable,44,Temp not working,1115,Not applicable
1976,Not applicable,Keeping house,Married,"Engines, turbines, and power transmission equipment manufacturing      ","Production, planning, and expediting clerks",Not applicable,40,Temp not working,1133,Not applicable
1976,Not applicable,Keeping house,Married,Animal production,"Farmers, ranchers, and other agricultural managers",Not applicable,50,Temp not working,1156,Not applicable
1976,Not applicable,Not applicable,Separated,Nursing care facilities,"Nursing, psychiatric, and home health aides",Not applicable,40,Temp not working,1210,Not applicable
1976,Not applicable,Working fulltime,Married,Not specified type of mining,Chemists and materials scientists,Not applicable,40,Temp not working,1290,Not applicable
1976,Not applicable,Not applicable,Never married,"Civic, social, advocacy organizations, and grantmaking and giving services",Telemarketers,Not applicable,40,Temp not working,1293,Not applicable
1976,Not applicable,Keeping house,Married,Grocery stores,Stock clerks and order fillers,Not applicable,40,Temp not working,1301,Not applicable
1976,Not applicable,Not applicable,Divorced,Cut and sew apparel manufacturing,Sewing machine operators,Not applicable,40,Temp not working,1360,Not applicable
1976,Not applicable,Keeping house,Married,Construction,"Helpers, construction trades",Not applicable,40,Temp not working,1478,Not applicable
1976,Not applicable,Keeping house,Married,Construction,First-line supervisors of production and operating workers,Not applicable,40,Temp not working,1508,Not applicable
1976,Not applicable,Working fulltime,Married,Agricultural implement manufacturing,Computer programmers,Not applicable,40,Temp not working,1595,Not applicable
1976,Not applicable,Working fulltime,Married,Postal service,Postal service clerks,Not applicable,40,Temp not working,1640,Not applicable
1976,Not applicable,Retired,Married,Department stores and discount stores,Uncodeable,Not applicable,40,Temp not working,1650,Not applicable
1976,Not applicable,Working parttime,Married,"Construction, and mining and oil and gas field machinery manufacturing    ","Woodworking machine setters, operators, and tenders, except sawing",Not applicable,40,Temp not working,1691,Not applicable
1977,Not applicable,Not applicable,Widowed,Sugar and confectionery products,"Packers and packagers, hand",Not applicable,40,Temp not working,110,Not applicable
1977,Not applicable,Not applicable,Never married,Hospitals,Registered nurses,Not applicable,40,Temp not working,134,Not applicable
1977,Not applicable,"Unempl, laid off",Married,Individual and family services,Social and human service assistants,Not applicable,25,Temp not working,172,Not applicable
1977,Not applicable,Not applicable,Never married,Elementary and secondary schools,Secondary school teachers,Not applicable,60,Temp not working,174,Not applicable
1977,Not applicable,Not applicable,Divorced,Iron and steel mills and steel product manufacturing ,Uncodeable,Not applicable,40,Temp not working,182,Not applicable
1977,Not applicable,Working fulltime,Married,Sawmills and wood preservation,Logging workers,Not applicable,40,Temp not working,201,Not applicable
1977,40,Temp not working,Married,"Museums, art galleries, historical sites, and similar institutions",Postsecondary teachers,Not applicable,5,Temp not working,205,Not applicable
1977,Not applicable,Not applicable,Never married,Administration of human resource programs,Secretaries and administrative assistants,Not applicable,40,Temp not working,261,Not applicable
1977,Not applicable,Working parttime,Married,Iron and steel mills and steel product manufacturing ,First-line supervisors of production and operating workers,Not applicable,40,Temp not working,267,Not applicable
1977,Not applicable,Not applicable,Divorced,Water transportation,"Material moving workers, all other",Not applicable,55,Temp not working,273,Not applicable
1977,Not applicable,Keeping house,Married,Iron and steel mills and steel product manufacturing ,"Production workers, all other",Not applicable,40,Temp not working,334,Not applicable
1977,Not applicable,Keeping house,Married,"Justice, public order, and safety activities",First-line supervisors of correctional officers,Not applicable,40,Temp not working,347,Not applicable
1977,Not applicable,Not applicable,Separated,Department stores and discount stores,Stock clerks and order fillers,Not applicable,40,Temp not working,375,Not applicable
1977,Not applicable,Not applicable,Widowed,"Forestry, except logging",Grounds maintenance workers,Not applicable,34,Temp not working,386,Not applicable
1977,Not applicable,Not applicable,Divorced,"Other amusement, gambling, and recreation industries","Athletes, coaches, umpires, and related workers",Not applicable,60,Temp not working,411,Not applicable
1977,Not applicable,Keeping house,Married,Truck transportation,Driver/sales workers and truck drivers,Not applicable,70,Temp not working,581,Not applicable
1977,Not applicable,Not applicable,Widowed,Motor vehicles and motor vehicle equipment manufacturing,"Maintenance workers, machinery",Not applicable,40,Temp not working,622,Not applicable
1977,Not applicable,Working fulltime,Married,Hospitals,Gaming cage workers,Not applicable,40,Temp not working,668,Not applicable
1977,Not applicable,Working parttime,Married,Uncodeable,"Packers and packagers, hand",Not applicable,40,Temp not working,700,Not applicable
1977,Not applicable,Keeping house,Married,Construction,Electricians,Not applicable,40,Temp not working,715,Not applicable
1977,Not applicable,Not applicable,Separated,"Residential care facilities, without nursing",Maids and housekeeping cleaners,Not applicable,20,Temp not working,781,Not applicable
1977,Not applicable,Not applicable,Never married,Insurance carriers and related activities,Receptionists and information clerks,Not applicable,13,Temp not working,829,Not applicable
1977,Not applicable,Not applicable,Divorced,Motor vehicles and motor vehicle equipment manufacturing,Stationary engineers and boiler operators,Not applicable,8,Temp not working,873,Not applicable
1977,Not applicable,Not applicable,Separated,Construction,Construction laborers,Not applicable,40,Temp not working,951,Not applicable
1977,Not applicable,Working fulltime,Married,Clothing stores,Uncodeable,Not applicable,20,Temp not working,1181,Not applicable
1977,Not applicable,Working fulltime,Married,Elementary and secondary schools,Elementary and middle school teachers,Not applicable,8,Temp not working,1247,Not applicable
1977,Not applicable,Working parttime,Married,Miscellaneous retail stores,Miscellaneous assemblers and fabricators,Not applicable,40,Temp not working,1262,Not applicable
1977,40,Temp not working,Married,Aluminum production and processing,"Production workers, all other",Not applicable,40,Temp not working,1294,Not applicable
1977,Not applicable,Keeping house,Married,Real estate,Real estate brokers and sales agents,Not applicable,12,Temp not working,1307,Not applicable
1977,Not applicable,Working fulltime,Married,Metal ore mining,"Earth drillers, except oil and gas",Not applicable,40,Temp not working,1325,Not applicable
1977,Not applicable,Keeping house,Married,Crop production,"Farmers, ranchers, and other agricultural managers",Not applicable,24,Temp not working,1495,Not applicable
1977,Not applicable,Not applicable,Separated,Support activities for agriculture and forestry,Miscellaneous agricultural workers,Not applicable,40,Temp not working,1513,Not applicable
1978,Not applicable,Working fulltime,Married,Elementary and secondary schools,Other teachers and instructors,Not applicable,34,Temp not working,18,Not applicable
1978,Not applicable,Working fulltime,Married,Iron and steel mills and steel product manufacturing ,"Managers, all other",Not applicable,60,Temp not working,54,Not applicable
1978,Not applicable,Not applicable,Never married,Banking and related activities,"Financial clerks, all other",Not applicable,35,Temp not working,55,Not applicable
1978,Not applicable,Not applicable,Never married,Elementary and secondary schools,Secondary school teachers,Not applicable,35,Temp not working,63,Not applicable
1978,Not applicable,Not applicable,Widowed,Clothing stores,First-line supervisors of retail sales workers,Not applicable,6,Temp not working,101,Not applicable
1978,Not applicable,Not applicable,Divorced,Hospitals,Secretaries and administrative assistants,Not applicable,37,Temp not working,102,Not applicable
1978,Not applicable,Working fulltime,Married,Not specified manufacturing industries,Packaging and filling machine operators and tenders,Not applicable,40,Temp not working,112,Not applicable
1978,Not applicable,Not applicable,Widowed,Hardware stores,"Tool grinders, filers, and sharpeners",Not applicable,50,Temp not working,167,Not applicable
1978,Not applicable,Working parttime,Married,"Electric power generation, transmission, and distribution","Electrical, electronics, and electromechanical assemblers",Not applicable,40,Temp not working,251,Not applicable
1978,Not applicable,Not applicable,Never married,Other health care services,Clinical laboratory technologists and technicians,Not applicable,40,Temp not working,330,Not applicable
1978,Not applicable,Not applicable,Divorced,Printing and related support activities,Print binding and finishing workers,Not applicable,40,Temp not working,367,Not applicable
1978,Not applicable,Keeping house,Married,Miscellaneous wood products,Carpenters,Not applicable,45,Temp not working,386,Not applicable
1978,Not applicable,Keeping house,Married,Landscaping services,Grounds maintenance workers,Not applicable,80,Temp not working,427,Not applicable
1978,Not applicable,Working fulltime,Married,Iron and steel mills and steel product manufacturing ,"Maintenance workers, machinery",Not applicable,40,Temp not working,491,Not applicable
1978,Not applicable,Not applicable,Never married,Cut and sew apparel manufacturing,Sewing machine operators,Not applicable,32,Temp not working,498,Not applicable
1978,Not applicable,Keeping house,Married,Coal mining,Mine shuttle car operators,Not applicable,40,Temp not working,570,Not applicable
1978,40,Temp not working,Married,Construction,Carpenters,Not applicable,80,Temp not working,683,Not applicable
1978,Not applicable,Not applicable,Widowed,Specialized design services,Etchers and engravers,Not applicable,40,Temp not working,828,Not applicable
1978,Not applicable,Not applicable,Divorced,Household appliance manufacturing,"Electrical, electronics, and electromechanical assemblers",Not applicable,40,Temp not working,917,Not applicable
1978,40,Temp not working,Married,Hospitals,Registered nurses,Not applicable,8,Temp not working,1029,Not applicable
1978,Not applicable,Working fulltime,Married,"Electric and gas, and other combinations","Shipping, receiving, and traffic clerks",Not applicable,40,Temp not working,1062,Not applicable
1978,Not applicable,Not applicable,Separated,Elementary and secondary schools,Secondary school teachers,Not applicable,50,Temp not working,1086,Not applicable
1978,Not applicable,Working fulltime,Married,Elementary and secondary schools,Secondary school teachers,Not applicable,40,Temp not working,1136,Not applicable
1978,Not applicable,Working fulltime,Married,Elementary and secondary schools,Elementary and middle school teachers,Not applicable,40,Temp not working,1145,Not applicable
1978,Not applicable,Not applicable,Divorced,"Drinking places, alcoholic beverages",First-line supervisors of food preparation and serving workers,Not applicable,60,Temp not working,1240,Not applicable
1978,Not applicable,Keeping house,Married,Construction,"Carpet, floor, and tile installers and finishers",Not applicable,60,Temp not working,1247,Not applicable
1978,Not applicable,Working fulltime,Married,Used merchandise stores,First-line supervisors of retail sales workers,Not applicable,48,Temp not working,1272,Not applicable
1978,Not applicable,Working fulltime,Married,Glass and glass product manufacturing,Miscellaneous assemblers and fabricators,Not applicable,40,Temp not working,1339,Not applicable
1978,Not applicable,Working fulltime,Married,Cut and sew apparel manufacturing,Sewing machine operators,Not applicable,39,Temp not working,1354,Not applicable
1978,Not applicable,Working fulltime,Married,Furniture and related product manufacturing,Miscellaneous construction and related workers,Not applicable,40,Temp not working,1399,Not applicable
1978,Not applicable,Not applicable,Separated,Nursing care facilities,"Nursing, psychiatric, and home health aides",Not applicable,40,Temp not working,1466,Not applicable
1978,Not applicable,Keeping house,Married,Coal mining,"Material moving workers, all other",Not applicable,40,Temp not working,1485,Not applicable
1978,Not applicable,Keeping house,Married,Coal mining,"Dredge, excavating, and loading machine operators",Not applicable,40,Temp not working,1487,Not applicable
1978,Not applicable,Not applicable,Never married,Coal mining,"Material moving workers, all other",Not applicable,50,Temp not working,1488,Not applicable
1978,Not applicable,Not applicable,Divorced,Coal mining,"Roof bolters, mining",Not applicable,48,Temp not working,1489,Not applicable
1978,Not applicable,Working fulltime,Married,Automobile dealers,Retail salespersons,Not applicable,50,Temp not working,1519,Not applicable
1980,Not applicable,Not applicable,Never married,Paperboard containers and boxes,"Production workers, all other",Not applicable,40,Temp not working,1,Not applicable
1980,Not applicable,Not applicable,Never married,Insurance carriers and related activities,Marketing and sales managers,Not applicable,21,Temp not working,21,Not applicable
1980,Not applicable,"Unempl, laid off",Married,Landscaping services,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Not applicable,70,Temp not working,81,Not applicable
1980,40,Temp not working,Married,"Soap, cleaning compound, and cosmetics manufacturing",Computer programmers,Not applicable,45,Temp not working,83,Not applicable
1980,Not applicable,Not applicable,Never married,Department stores and discount stores,"Wholesale and retail buyers, except farm products",Not applicable,47,Temp not working,88,Not applicable
1980,Not applicable,Not applicable,Never married,"Other professional, scientific, and technical services",Stock clerks and order fillers,Not applicable,40,Temp not working,98,Not applicable
1980,Not applicable,Not applicable,Never married,"Other amusement, gambling, and recreation industries",Dining room and cafeteria attendants and bartender helpers,Not applicable,12,Temp not working,248,Not applicable
1980,Not applicable,Not applicable,Never married,"Independent artists, performing arts, spectator sports, and related industries","Musicians, singers, and related workers",Not applicable,50,Temp not working,283,Not applicable
1980,Not applicable,Not applicable,Widowed,Elementary and secondary schools,"Bookkeeping, accounting, and auditing clerks",Not applicable,40,Temp not working,384,Not applicable
1980,Not applicable,Working fulltime,Married,Gasoline stations,Supervisors of transportation and material moving workers,Not applicable,40,Temp not working,386,Not applicable
1980,Not applicable,Not applicable,Never married,Construction,"Brickmasons, blockmasons, and stonemasons",Not applicable,40,Temp not working,393,Not applicable
1980,40,Temp not working,Married,Construction,Construction managers,Not applicable,40,Temp not working,403,Not applicable
1980,Not applicable,Keeping house,Married,Elementary and secondary schools,Secondary school teachers,Not applicable,40,Temp not working,479,Not applicable
1980,Not applicable,Not applicable,Widowed,Executive offices and legislative bodies,Financial managers,Not applicable,40,Temp not working,684,Not applicable
1980,Not applicable,Not applicable,Never married,Department stores and discount stores,Retail salespersons,Not applicable,36,Temp not working,770,Not applicable
1980,Not applicable,Working fulltime,Married,Banking and related activities,"Bookkeeping, accounting, and auditing clerks",Not applicable,38,Temp not working,863,Not applicable
1980,Not applicable,Working fulltime,Married,Industrial and miscellaneous chemicals,"Welding, soldering, and brazing workers",Not applicable,40,Temp not working,868,Not applicable
1980,Not applicable,Not applicable,Widowed,Department stores and discount stores,Secretaries and administrative assistants,Not applicable,33,Temp not working,901,Not applicable
1980,Not applicable,Working fulltime,Married,"Machinery manufacturing, n.e.c.    ",Uncodeable,Not applicable,45,Temp not working,935,Not applicable
1980,Not applicable,Keeping house,Married,Truck transportation,Driver/sales workers and truck drivers,Not applicable,50,Temp not working,985,Not applicable
1980,Not applicable,Working fulltime,Married,"Management, scientific, and technical consulting services",Computer systems analysts,Not applicable,20,Temp not working,1023,Not applicable
